job_title,company_name,rating,experience,salary,location,job_description,skills
Graphic Designer,SV Prints,None,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kozhikode,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Graphic Designer,Cimpress,4.0,0-3 Yrs,Not disclosed,Remote," Dear Candidate, Cimpress India is hiring for Graphic Designer.Demonstrates good level ...","Illustrator,Photoshop,Graphics,Design,Graphic designing"
Graphic Designer,Netbrain Technologies,4.8,0-3 Yrs,Not disclosed,Hyderabad,"Youll work closely with engineers, product managers, and marketing teams to develop vis...","technical illustration,solid works,graphic designingsketching,photoshop,communication skills,Design,Graphic designing,Graphics"
Graphic Designer,Testbook,3.6,0-2 Yrs,Not disclosed,New Delhi,The IIT pedigree of the co-founders has attracted some of the brightest minds in the co...,",image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing"
Graphic Designer,Metapercept Information Solutions Consulting,None,0-2 Yrs,Not disclosed,Pune, Study design briefs and determine requirements.Schedule projects and define budget con...,"Graphics,Graphic designing,Technical writing,Illustrator,Instructional design,Consulting,HTTP,professional services"
GRAPHIC DESIGNER,Oscar Bio,None,0-1 Yrs,Not disclosed,New Delhi,"  Create visual concepts to communicate information. Collaterals will include posters, ...","Cataloguing,Packaging,Design,Graphic designing,Graphics"
Graphic Designer,The Growth Square Personal Branding Agency,None,0-4 Yrs,Not disclosed,Bengaluru,Job type : Full time Bachelors degree in Graphic Design or a related fieldProven experi...,"software design,graphic designing,design,photoshop,flyers,graphics,communication skills,illustrator"
Graphic Designer,Kalvi Career Education,None,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,None,
Graphic Designer Intern/Executive,Promilo,4.4,0-2 Yrs,Not disclosed,Bengaluru,"Required Skills: Web Design Skills, UI / UX Principles, Animation, Proficiency in Desig...","Web Designing,Design Software,UI/UX Principles,Animation,Graphic Designing,UI/UX,Graphics,UI"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
99acre.com is hiring For Graphic Designer,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatory. . 1-4 years of Experience in Graphic Designing. Should be able ...,"Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design"
99acres.com is hiring For Graphic Designer!,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatoryWorking closely with the product and technical teams to ensure co...,"graphic designer,Posters,Brochures,adobe photoshop,Banners,Graphic Designing,Logo Design,Indesign"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Graphic Designer cum Video Editor,Aries Interiors And Architects,None,0-3 Yrs,Not disclosed,Vazhuthacaud,Freshers with relevant skills and a willingness to learn are encouraged to applyFresher...,"Graphic Designing,Video Editing,Posters,Banners,Business Cards,Canva,Campaigns,Adobe"
Graphic Designer,Hostenzo,5.0,0-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,Flexible working hours. . Can work from home or office,"Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design"
Graphic Designer,Attractive Web Solutions,4.9,0-3 Yrs,Not disclosed,New Delhi,Bachelor s degree in Graphic Design or a related fieldProven experience as a Graphic De...,"Graphics,Web technologies,Illustrator,adobe creative suite,Time management,Social media,Web development,Web designing"
AffinityX Is Hiring For Freshers/Experienced Graphic Designers,AffinityX,3.0,0-3 Yrs,Not disclosed,Pune(Eon Free Zone  +1),Willing to work in permanent or all geography rotational night shifts (US / CA/AU / NZ/...,"Photoshop,Indesign,Illustrator,Hiring,Graphics,Graphic designing,Design"
Graphic Designer,SV Prints,None,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kozhikode,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Graphic Designer,Cimpress,4.0,0-3 Yrs,Not disclosed,Remote," Dear Candidate, Cimpress India is hiring for Graphic Designer.Demonstrates good level ...","Illustrator,Photoshop,Graphics,Design,Graphic designing"
Graphic Designer,Netbrain Technologies,4.8,0-3 Yrs,Not disclosed,Hyderabad,"Youll work closely with engineers, product managers, and marketing teams to develop vis...","technical illustration,solid works,graphic designingsketching,photoshop,communication skills,Design,Graphic designing,Graphics"
Graphic Designer,Testbook,3.6,0-2 Yrs,Not disclosed,New Delhi,The IIT pedigree of the co-founders has attracted some of the brightest minds in the co...,",image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing"
Graphic Designer,Metapercept Information Solutions Consulting,None,0-2 Yrs,Not disclosed,Pune, Study design briefs and determine requirements.Schedule projects and define budget con...,"Graphics,Graphic designing,Technical writing,Illustrator,Instructional design,Consulting,HTTP,professional services"
GRAPHIC DESIGNER,Oscar Bio,None,0-1 Yrs,Not disclosed,New Delhi,"  Create visual concepts to communicate information. Collaterals will include posters, ...","Cataloguing,Packaging,Design,Graphic designing,Graphics"
Graphic Designer,The Growth Square Personal Branding Agency,None,0-4 Yrs,Not disclosed,Bengaluru,Job type : Full time Bachelors degree in Graphic Design or a related fieldProven experi...,"software design,graphic designing,design,photoshop,flyers,graphics,communication skills,illustrator"
Graphic Designer,Kalvi Career Education,None,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,None,
Graphic Designer Intern/Executive,Promilo,4.4,0-2 Yrs,Not disclosed,Bengaluru,"Required Skills: Web Design Skills, UI / UX Principles, Animation, Proficiency in Desig...","Web Designing,Design Software,UI/UX Principles,Animation,Graphic Designing,UI/UX,Graphics,UI"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
99acre.com is hiring For Graphic Designer,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatory. . 1-4 years of Experience in Graphic Designing. Should be able ...,"Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design"
99acres.com is hiring For Graphic Designer!,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatoryWorking closely with the product and technical teams to ensure co...,"graphic designer,Posters,Brochures,adobe photoshop,Banners,Graphic Designing,Logo Design,Indesign"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Graphic Designer cum Video Editor,Aries Interiors And Architects,None,0-3 Yrs,Not disclosed,Vazhuthacaud,Freshers with relevant skills and a willingness to learn are encouraged to applyFresher...,"Graphic Designing,Video Editing,Posters,Banners,Business Cards,Canva,Campaigns,Adobe"
Graphic Designer,Hostenzo,5.0,0-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,Flexible working hours. . Can work from home or office,"Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design"
Graphic Designer,Attractive Web Solutions,4.9,0-3 Yrs,Not disclosed,New Delhi,Bachelor s degree in Graphic Design or a related fieldProven experience as a Graphic De...,"Graphics,Web technologies,Illustrator,adobe creative suite,Time management,Social media,Web development,Web designing"
AffinityX Is Hiring For Freshers/Experienced Graphic Designers,AffinityX,3.0,0-3 Yrs,Not disclosed,Pune(Eon Free Zone  +1),Willing to work in permanent or all geography rotational night shifts (US / CA/AU / NZ/...,"Photoshop,Indesign,Illustrator,Hiring,Graphics,Graphic designing,Design"
Graphic Designer,SV Prints,None,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kozhikode,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Graphic Designer,Cimpress,4.0,0-3 Yrs,Not disclosed,Remote," Dear Candidate, Cimpress India is hiring for Graphic Designer.Demonstrates good level ...","Illustrator,Photoshop,Graphics,Design,Graphic designing"
Graphic Designer,Netbrain Technologies,4.8,0-3 Yrs,Not disclosed,Hyderabad,"Youll work closely with engineers, product managers, and marketing teams to develop vis...","technical illustration,solid works,graphic designingsketching,photoshop,communication skills,Design,Graphic designing,Graphics"
Graphic Designer,Testbook,3.6,0-2 Yrs,Not disclosed,New Delhi,The IIT pedigree of the co-founders has attracted some of the brightest minds in the co...,",image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing"
Graphic Designer,Metapercept Information Solutions Consulting,None,0-2 Yrs,Not disclosed,Pune, Study design briefs and determine requirements.Schedule projects and define budget con...,"Graphics,Graphic designing,Technical writing,Illustrator,Instructional design,Consulting,HTTP,professional services"
GRAPHIC DESIGNER,Oscar Bio,None,0-1 Yrs,Not disclosed,New Delhi,"  Create visual concepts to communicate information. Collaterals will include posters, ...","Cataloguing,Packaging,Design,Graphic designing,Graphics"
Graphic Designer,The Growth Square Personal Branding Agency,None,0-4 Yrs,Not disclosed,Bengaluru,Job type : Full time Bachelors degree in Graphic Design or a related fieldProven experi...,"software design,graphic designing,design,photoshop,flyers,graphics,communication skills,illustrator"
Graphic Designer,Kalvi Career Education,None,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,None,
Graphic Designer Intern/Executive,Promilo,4.4,0-2 Yrs,Not disclosed,Bengaluru,"Required Skills: Web Design Skills, UI / UX Principles, Animation, Proficiency in Desig...","Web Designing,Design Software,UI/UX Principles,Animation,Graphic Designing,UI/UX,Graphics,UI"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
99acre.com is hiring For Graphic Designer,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatory. . 1-4 years of Experience in Graphic Designing. Should be able ...,"Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design"
99acres.com is hiring For Graphic Designer!,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatoryWorking closely with the product and technical teams to ensure co...,"graphic designer,Posters,Brochures,adobe photoshop,Banners,Graphic Designing,Logo Design,Indesign"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Graphic Designer cum Video Editor,Aries Interiors And Architects,None,0-3 Yrs,Not disclosed,Vazhuthacaud,Freshers with relevant skills and a willingness to learn are encouraged to applyFresher...,"Graphic Designing,Video Editing,Posters,Banners,Business Cards,Canva,Campaigns,Adobe"
Graphic Designer,Hostenzo,5.0,0-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,Flexible working hours. . Can work from home or office,"Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design"
Graphic Designer,Attractive Web Solutions,4.9,0-3 Yrs,Not disclosed,New Delhi,Bachelor s degree in Graphic Design or a related fieldProven experience as a Graphic De...,"Graphics,Web technologies,Illustrator,adobe creative suite,Time management,Social media,Web development,Web designing"
AffinityX Is Hiring For Freshers/Experienced Graphic Designers,AffinityX,3.0,0-3 Yrs,Not disclosed,Pune(Eon Free Zone  +1),Willing to work in permanent or all geography rotational night shifts (US / CA/AU / NZ/...,"Photoshop,Indesign,Illustrator,Hiring,Graphics,Graphic designing,Design"
Graphic Designer,SV Prints,None,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kozhikode,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Graphic Designer,Cimpress,4.0,0-3 Yrs,Not disclosed,Remote," Dear Candidate, Cimpress India is hiring for Graphic Designer.Demonstrates good level ...","Illustrator,Photoshop,Graphics,Design,Graphic designing"
Graphic Designer,Netbrain Technologies,4.8,0-3 Yrs,Not disclosed,Hyderabad,"Youll work closely with engineers, product managers, and marketing teams to develop vis...","technical illustration,solid works,graphic designingsketching,photoshop,communication skills,Design,Graphic designing,Graphics"
Graphic Designer,Testbook,3.6,0-2 Yrs,Not disclosed,New Delhi,The IIT pedigree of the co-founders has attracted some of the brightest minds in the co...,",image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing"
Graphic Designer,Metapercept Information Solutions Consulting,None,0-2 Yrs,Not disclosed,Pune, Study design briefs and determine requirements.Schedule projects and define budget con...,"Graphics,Graphic designing,Technical writing,Illustrator,Instructional design,Consulting,HTTP,professional services"
GRAPHIC DESIGNER,Oscar Bio,None,0-1 Yrs,Not disclosed,New Delhi,"  Create visual concepts to communicate information. Collaterals will include posters, ...","Cataloguing,Packaging,Design,Graphic designing,Graphics"
Graphic Designer,The Growth Square Personal Branding Agency,None,0-4 Yrs,Not disclosed,Bengaluru,Job type : Full time Bachelors degree in Graphic Design or a related fieldProven experi...,"software design,graphic designing,design,photoshop,flyers,graphics,communication skills,illustrator"
Graphic Designer,Kalvi Career Education,None,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,None,
Graphic Designer Intern/Executive,Promilo,4.4,0-2 Yrs,Not disclosed,Bengaluru,"Required Skills: Web Design Skills, UI / UX Principles, Animation, Proficiency in Desig...","Web Designing,Design Software,UI/UX Principles,Animation,Graphic Designing,UI/UX,Graphics,UI"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
99acre.com is hiring For Graphic Designer,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatory. . 1-4 years of Experience in Graphic Designing. Should be able ...,"Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design"
99acres.com is hiring For Graphic Designer!,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatoryWorking closely with the product and technical teams to ensure co...,"graphic designer,Posters,Brochures,adobe photoshop,Banners,Graphic Designing,Logo Design,Indesign"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Graphic Designer cum Video Editor,Aries Interiors And Architects,None,0-3 Yrs,Not disclosed,Vazhuthacaud,Freshers with relevant skills and a willingness to learn are encouraged to applyFresher...,"Graphic Designing,Video Editing,Posters,Banners,Business Cards,Canva,Campaigns,Adobe"
Graphic Designer,Hostenzo,5.0,0-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,Flexible working hours. . Can work from home or office,"Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design"
Graphic Designer,Attractive Web Solutions,4.9,0-3 Yrs,Not disclosed,New Delhi,Bachelor s degree in Graphic Design or a related fieldProven experience as a Graphic De...,"Graphics,Web technologies,Illustrator,adobe creative suite,Time management,Social media,Web development,Web designing"
AffinityX Is Hiring For Freshers/Experienced Graphic Designers,AffinityX,3.0,0-3 Yrs,Not disclosed,Pune(Eon Free Zone  +1),Willing to work in permanent or all geography rotational night shifts (US / CA/AU / NZ/...,"Photoshop,Indesign,Illustrator,Hiring,Graphics,Graphic designing,Design"
Graphic Designer,SV Prints,None,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kozhikode,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Graphic Designer,Cimpress,4.0,0-3 Yrs,Not disclosed,Remote," Dear Candidate, Cimpress India is hiring for Graphic Designer.Demonstrates good level ...","Illustrator,Photoshop,Graphics,Design,Graphic designing"
Graphic Designer,Netbrain Technologies,4.8,0-3 Yrs,Not disclosed,Hyderabad,"Youll work closely with engineers, product managers, and marketing teams to develop vis...","technical illustration,solid works,graphic designingsketching,photoshop,communication skills,Design,Graphic designing,Graphics"
Graphic Designer,Testbook,3.6,0-2 Yrs,Not disclosed,New Delhi,The IIT pedigree of the co-founders has attracted some of the brightest minds in the co...,",image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing"
Graphic Designer,Metapercept Information Solutions Consulting,None,0-2 Yrs,Not disclosed,Pune, Study design briefs and determine requirements.Schedule projects and define budget con...,"Graphics,Graphic designing,Technical writing,Illustrator,Instructional design,Consulting,HTTP,professional services"
GRAPHIC DESIGNER,Oscar Bio,None,0-1 Yrs,Not disclosed,New Delhi,"  Create visual concepts to communicate information. Collaterals will include posters, ...","Cataloguing,Packaging,Design,Graphic designing,Graphics"
Graphic Designer,The Growth Square Personal Branding Agency,None,0-4 Yrs,Not disclosed,Bengaluru,Job type : Full time Bachelors degree in Graphic Design or a related fieldProven experi...,"software design,graphic designing,design,photoshop,flyers,graphics,communication skills,illustrator"
Graphic Designer,Kalvi Career Education,None,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,None,
Graphic Designer Intern/Executive,Promilo,4.4,0-2 Yrs,Not disclosed,Bengaluru,"Required Skills: Web Design Skills, UI / UX Principles, Animation, Proficiency in Desig...","Web Designing,Design Software,UI/UX Principles,Animation,Graphic Designing,UI/UX,Graphics,UI"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
99acre.com is hiring For Graphic Designer,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatory. . 1-4 years of Experience in Graphic Designing. Should be able ...,"Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design"
99acres.com is hiring For Graphic Designer!,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatoryWorking closely with the product and technical teams to ensure co...,"graphic designer,Posters,Brochures,adobe photoshop,Banners,Graphic Designing,Logo Design,Indesign"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Graphic Designer cum Video Editor,Aries Interiors And Architects,None,0-3 Yrs,Not disclosed,Vazhuthacaud,Freshers with relevant skills and a willingness to learn are encouraged to applyFresher...,"Graphic Designing,Video Editing,Posters,Banners,Business Cards,Canva,Campaigns,Adobe"
Graphic Designer,Hostenzo,5.0,0-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,Flexible working hours. . Can work from home or office,"Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design"
Graphic Designer,Attractive Web Solutions,4.9,0-3 Yrs,Not disclosed,New Delhi,Bachelor s degree in Graphic Design or a related fieldProven experience as a Graphic De...,"Graphics,Web technologies,Illustrator,adobe creative suite,Time management,Social media,Web development,Web designing"
AffinityX Is Hiring For Freshers/Experienced Graphic Designers,AffinityX,3.0,0-3 Yrs,Not disclosed,Pune(Eon Free Zone  +1),Willing to work in permanent or all geography rotational night shifts (US / CA/AU / NZ/...,"Photoshop,Indesign,Illustrator,Hiring,Graphics,Graphic designing,Design"
Graphic Designer,SV Prints,None,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kozhikode,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Freelance Graphics Designer,Enmain,None,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Graphic Designer,Cimpress,4.0,0-3 Yrs,Not disclosed,Remote," Dear Candidate, Cimpress India is hiring for Graphic Designer.Demonstrates good level ...","Illustrator,Photoshop,Graphics,Design,Graphic designing"
Graphic Designer,Netbrain Technologies,4.8,0-3 Yrs,Not disclosed,Hyderabad,"Youll work closely with engineers, product managers, and marketing teams to develop vis...","technical illustration,solid works,graphic designingsketching,photoshop,communication skills,Design,Graphic designing,Graphics"
Graphic Designer,Testbook,3.6,0-2 Yrs,Not disclosed,New Delhi,The IIT pedigree of the co-founders has attracted some of the brightest minds in the co...,",image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing"
Graphic Designer,Metapercept Information Solutions Consulting,None,0-2 Yrs,Not disclosed,Pune, Study design briefs and determine requirements.Schedule projects and define budget con...,"Graphics,Graphic designing,Technical writing,Illustrator,Instructional design,Consulting,HTTP,professional services"
GRAPHIC DESIGNER,Oscar Bio,None,0-1 Yrs,Not disclosed,New Delhi,"  Create visual concepts to communicate information. Collaterals will include posters, ...","Cataloguing,Packaging,Design,Graphic designing,Graphics"
Graphic Designer,The Growth Square Personal Branding Agency,None,0-4 Yrs,Not disclosed,Bengaluru,Job type : Full time Bachelors degree in Graphic Design or a related fieldProven experi...,"software design,graphic designing,design,photoshop,flyers,graphics,communication skills,illustrator"
Graphic Designer,Kalvi Career Education,None,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Graphic Designer,Mantras2success Consultants,4.4,No fixed duration,Unpaid,Ahmedabad,None,
Graphic Designer Intern/Executive,Promilo,4.4,0-2 Yrs,Not disclosed,Bengaluru,"Required Skills: Web Design Skills, UI / UX Principles, Animation, Proficiency in Desig...","Web Designing,Design Software,UI/UX Principles,Animation,Graphic Designing,UI/UX,Graphics,UI"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
99acre.com is hiring For Graphic Designer,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatory. . 1-4 years of Experience in Graphic Designing. Should be able ...,"Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design"
99acres.com is hiring For Graphic Designer!,Info Edge,4.0,0-3 Yrs,Not disclosed,Noida,BFA / MFA is mandatoryWorking closely with the product and technical teams to ensure co...,"graphic designer,Posters,Brochures,adobe photoshop,Banners,Graphic Designing,Logo Design,Indesign"
Graphic Designer - IIMJobs.com (Rohini),Info Edge,4.0,0-3 Yrs,4-6 Lacs PA,Hybrid - New Delhi(Rohini)," About Info Edge: We are Info Edge, a pioneer in the Indian internet ecosystem. We help...","Motion Graphics,Graphic Designing,Brochures,Banners,Logo Design,Flyers,Graphics,Motion"
Graphic Designer cum Video Editor,Aries Interiors And Architects,None,0-3 Yrs,Not disclosed,Vazhuthacaud,Freshers with relevant skills and a willingness to learn are encouraged to applyFresher...,"Graphic Designing,Video Editing,Posters,Banners,Business Cards,Canva,Campaigns,Adobe"
Graphic Designer,Hostenzo,5.0,0-5 Yrs,Not disclosed,Hybrid - Delhi / NCR,Flexible working hours. . Can work from home or office,"Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design"
Graphic Designer,Attractive Web Solutions,4.9,0-3 Yrs,Not disclosed,New Delhi,Bachelor s degree in Graphic Design or a related fieldProven experience as a Graphic De...,"Graphics,Web technologies,Illustrator,adobe creative suite,Time management,Social media,Web development,Web designing"
